Chapter,PDF Page,Mark Number On Page,PDF X,PDF Y,Raster X,Raster Y,Bounding Box,Glyph Method,Vector Method,Raster Method,Raster Strict,Raster Broad,Confidence,Review Status,Text Type,Text ID,Shloka Number,Charan Number,Associated Word,Following Conjunct,First Consonant,Dvitva Candidate,Exception Status,Glyph Font,Glyph Color,Source Details,Dvitva Rule,Mapping Confidence,Dvitva Result,Anusvara Present,Anusvara Position,Anusvara Following Sound,Anusvara Guide Output,Anusvara Source,Anunasika Present
1,1,1,-29.099,33.062,-161.7,183.7,"[-36.332, 29.496, -21.866, 36.627]",no,yes,no,no,no,0.51,DECORATION_REVIEW,DECORATION_CANDIDATE,CH01-P001-DECORATION,,,,,,,DECORATION_REVIEW,,,"[{""bbox"": [-36.33190155029297, 29.495849609375, -21.8656005859375, 36.62725830078125], ""single_stroke"": true}]",,,,,,,,,
1,1,2,-46.965,38.318,-260.9,212.9,"[-54.198, 34.752, -39.731, 41.883]",no,yes,no,no,no,0.51,DECORATION_REVIEW,DECORATION_CANDIDATE,CH01-P001-DECORATION,,,,,,,DECORATION_REVIEW,,,"[{""bbox"": [-54.197898864746094, 34.75189208984375, -39.73149871826172, 41.88330078125], ""single_stroke"": true}]",,,,,,,,,
1,1,3,89.1,48.78,495.0,271.0,"[85.68, 45.36, 92.52, 52.2]",no,no,yes,yes,yes,0.79,DECORATION_REVIEW,DECORATION_CANDIDATE,CH01-P001-DECORATION,,,,,,,DECORATION_REVIEW,,,"[{""bbox_px"": [476, 275, 512, 290], ""area"": 196}, {""bbox_px"": [482, 252, 491, 261], ""area"": 39}, {""bbox_px"": [476, 275, 514, 290], ""area"": 200}]",,,,,,,,,
1,1,4,207.9,78.12,1155.0,434.0,"[206.82, 77.22, 208.98, 79.02]",no,no,yes,yes,yes,0.79,DECORATION_REVIEW,DECORATION_CANDIDATE,CH01-P001-DECORATION,,,,,,,DECORATION_REVIEW,,,"[{""bbox_px"": [1149, 429, 1161, 439], ""area"": 44}, {""bbox_px"": [1149, 429, 1161, 439], ""area"": 52}]",,,,,,,,,
1,1,5,200.7,97.02,1115.0,539.0,"[197.46, 94.32, 203.94, 99.72]",no,no,yes,yes,no,0.51,DECORATION_REVIEW,DECORATION_CANDIDATE,CH01-P001-DECORATION,,,,,,,DECORATION_REVIEW,,,"[{""bbox_px"": [1097, 524, 1133, 554], ""area"": 250}]",,,,,,,,,
1,1,6,214.83,98.64,1193.5,548.0,"[208.26, 96.84, 221.4, 100.44]",no,no,yes,yes,no,0.51,DECORATION_REVIEW,DECORATION_CANDIDATE,CH01-P001-DECORATION,,,,,,,DECORATION_REVIEW,,,"[{""bbox_px"": [1157, 538, 1230, 558], ""area"": 629}]",,,,,,,,,
1,1,7,205.83,523.35,1143.5,2907.5,"[204.66, 521.46, 207.0, 525.24]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,COVER_OR_CLOSING,CH01-P001-COVER_OR_CLOSING,,,,,,,NON_SHLOKA_TEXT_MAPPING_REVIEW_REQUIRED,,,"[{""bbox"": [204.87860107421875, 521.7041015625, 206.40609741210938, 525.0166015625]}, {""bbox_px"": [1137, 2897, 1149, 2918], ""area"": 142}, {""bbox_px"": [1137, 2897, 1150, 2918], ""area"": 162}]",,,,,,,,,
1,1,8,171.0,523.44,950.0,2908.0,"[169.92, 521.82, 172.08, 525.06]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,COVER_OR_CLOSING,CH01-P001-COVER_OR_CLOSING,,,,,,,NON_SHLOKA_TEXT_MAPPING_REVIEW_REQUIRED,,,"[{""bbox"": [170.0186004638672, 522.0455932617188, 171.54620361328125, 524.7611694335938]}, {""bbox_px"": [944, 2899, 956, 2917], ""area"": 120}, {""bbox_px"": [944, 2899, 956, 2917], ""area"": 122}]",,,,,,,,,
1,1,9,240.84,523.44,1338.0,2908.0,"[239.76, 521.46, 241.92, 525.42]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,COVER_OR_CLOSING,CH01-P001-COVER_OR_CLOSING,,,,,,,NON_SHLOKA_TEXT_MAPPING_REVIEW_REQUIRED,,,"[{""bbox"": [239.8459014892578, 521.78564453125, 241.37350463867188, 525.0982666015625]}, {""bbox_px"": [1332, 2897, 1344, 2919], ""area"": 144}, {""bbox_px"": [1332, 2897, 1344, 2919], ""area"": 149}]",,,,,,,,,
1,1,10,266.4,523.8,1480.0,2910.0,"[265.32, 522.0, 267.48, 525.6]",no,yes,yes,yes,yes,0.95,AUTO_VALIDATED,COVER_OR_CLOSING,CH01-P001-COVER_OR_CLOSING,,,,,,,NON_SHLOKA_TEXT_MAPPING_REVIEW_REQUIRED,,,"[{""bbox"": [265.4560852050781, 522.2202758789062, 266.9833984375, 525.3502807617188]}, {""bbox_px"": [1474, 2900, 1486, 2920], ""area"": 118}, {""bbox_px"": [1474, 2900, 1486, 2920], ""area"": 156}]",,,,,,,,,
1,2,1,-29.099,33.062,-161.7,183.7,"[-36.332, 29.496, -21.866, 36.627]",no,yes,no,no,no,0.51,DECORATION_REVIEW,DECORATION_CANDIDATE,CH01-P002-DECORATION,,,,,,,DECORATION_REVIEW,,,"[{""bbox"": [-36.33190155029297, 29.495849609375, -21.8656005859375, 36.62725830078125], ""single_stroke"": true}]",,,,,,,,,
1,2,2,-46.965,38.318,-260.9,212.9,"[-54.198, 34.752, -39.731, 41.883]",no,yes,no,no,no,0.51,DECORATION_REVIEW,DECORATION_CANDIDATE,CH01-P002-DECORATION,,,,,,,DECORATION_REVIEW,,,"[{""bbox"": [-54.197898864746094, 34.75189208984375, -39.73149871826172, 41.88330078125], ""single_stroke"": true}]",,,,,,,,,
